ID,Park,State,Year,Month,Recreation_ Visitors,Non_Recreation_Visitors,Recreation_Visitor_Hours,Non_Recreation_Hours,Concession_Lodging,Tent_Campers,RV_Campers,Backcountry_Campers,Misc_Campers,Total_Overnight_Stays
1,Black Canyon of the Gunnison NP,CO,2010,January,"2,519",0,"6,898",0,0,19,8,0,0,27
2,Black Canyon of the Gunnison NP,CO,2010,February,"3,034",0,"9,193",0,0,35,13,0,0,48
3,Black Canyon of the Gunnison NP,CO,2010,March,"3,199",0,"8,741",0,0,35,20,0,0,55
4,Black Canyon of the Gunnison NP,CO,2010,April,"4,421",0,"17,747",0,0,169,160,32,0,361
5,Black Canyon of the Gunnison NP,CO,2010,May,"21,259",0,"128,429",0,0,"1,159",715,107,0,"1,981"
6,Black Canyon of the Gunnison NP,CO,2010,June,"24,477",0,"163,138",0,0,"1,172","1,518",184,0,"2,874"
7,Black Canyon of the Gunnison NP,CO,2010,July,"35,398",0,"228,706",0,0,"2,162","1,648",143,0,"3,953"
8,Black Canyon of the Gunnison NP,CO,2010,August,"27,367",0,"165,614",0,0,"1,095","1,293",196,0,"2,584"
9,Black Canyon of the Gunnison NP,CO,2010,September,"24,297",0,"161,738",0,0,"1,455","1,001",320,0,"2,776"
10,Black Canyon of the Gunnison NP,CO,2010,October,"21,331",0,"75,893",0,0,803,630,159,0,"1,592"
11,Black Canyon of the Gunnison NP,CO,2010,November,"3,646",0,"9,242",0,0,50,75,5,0,130
12,Black Canyon of the Gunnison NP,CO,2010,December,"5,396",0,"10,577",0,0,11,8,0,0,19
13,Black Canyon of the Gunnison NP,CO,2011,January,"3,289",0,"10,454",0,0,61,25,4,0,90
14,Black Canyon of the Gunnison NP,CO,2011,February,"3,207",0,"9,542",0,0,26,20,3,0,49
15,Black Canyon of the Gunnison NP,CO,2011,March,"4,012",0,"11,106",0,0,83,31,5,0,119
16,Black Canyon of the Gunnison NP,CO,2011,April,"4,885",0,"18,646",0,0,180,138,7,0,325
17,Black Canyon of the Gunnison NP,CO,2011,May,"12,722",0,"101,447",0,0,"1,047",808,80,0,"1,935"
18,Black Canyon of the Gunnison NP,CO,2011,June,"24,589",0,"184,682",0,0,"1,928","1,656",93,0,"3,677"
19,Black Canyon of the Gunnison NP,CO,2011,July,"28,381",0,"223,287",0,0,"2,606","1,983",135,0,"4,724"
20,Black Canyon of the Gunnison NP,CO,2011,August,"39,032",0,"229,224",0,0,"1,991","1,491",95,0,"3,577"
21,Black Canyon of the Gunnison NP,CO,2011,September,"26,905",0,"173,286",0,0,"1,651","1,146",92,0,"2,889"
22,Black Canyon of the Gunnison NP,CO,2011,October,"12,297",0,"41,912",0,0,338,234,107,0,679
23,Black Canyon of the Gunnison NP,CO,2011,November,"5,031",0,"9,718",0,0,0,22,6,0,28
24,Black Canyon of the Gunnison NP,CO,2011,December,"3,986",0,"11,463",0,0,8,14,4,0,26
25,Black Canyon of the Gunnison NP,CO,2012,January,509,0,"4,749",0,0,6,0,0,0,6
26,Black Canyon of the Gunnison NP,CO,2012,February,717,0,"6,746",0,0,7,0,0,0,7
27,Black Canyon of the Gunnison NP,CO,2012,March,"4,388",0,"12,779",0,0,61,31,0,0,92
28,Black Canyon of the Gunnison NP,CO,2012,April,"9,150",0,"35,450",0,0,267,328,45,0,640
29,Black Canyon of the Gunnison NP,CO,2012,May,"24,991",0,"164,437",0,0,"1,281","1,287",109,0,"2,677"
30,Black Canyon of the Gunnison NP,CO,2012,June,"41,757",0,"252,216",0,0,"2,206","1,697",143,0,"4,046"
31,Black Canyon of the Gunnison NP,CO,2012,July,"37,371",0,"239,254",0,0,"2,301","1,863",119,0,"4,283"
32,Black Canyon of the Gunnison NP,CO,2012,August,"26,047",0,"177,184",0,0,"1,735","1,443",141,0,"3,319"
33,Black Canyon of the Gunnison NP,CO,2012,September,"23,919",0,"157,743",0,0,"1,262","1,344",81,0,"2,687"
34,Black Canyon of the Gunnison NP,CO,2012,October,"12,742",0,"67,620",0,0,917,942,28,0,"1,887"
35,Black Canyon of the Gunnison NP,CO,2012,November,"7,126",0,"13,413",0,0,14,25,0,0,39
36,Black Canyon of the Gunnison NP,CO,2012,December,"3,853",0,"9,958",0,0,0,19,0,0,19
37,Black Canyon of the Gunnison NP,CO,2013,January,"4,046",0,"14,006",0,0,0,17,4,0,21
38,Black Canyon of the Gunnison NP,CO,2013,February,"3,410",0,"15,856",0,0,96,31,0,0,127
39,Black Canyon of the Gunnison NP,CO,2013,March,"6,698",0,"17,814",0,0,74,31,0,0,105
40,Black Canyon of the Gunnison NP,CO,2013,April,"8,606",0,"24,570",0,0,206,72,13,0,291
41,Black Canyon of the Gunnison NP,CO,2013,May,"23,708",0,"158,096",0,0,"1,325","1,137",105,0,"2,567"
42,Black Canyon of the Gunnison NP,CO,2013,June,"21,927",0,"184,494",0,0,"2,122","1,850",175,0,"4,146"
43,Black Canyon of the Gunnison NP,CO,2013,July,"37,010",0,"248,675",0,0,"2,611","1,975",95,0,"4,681"
44,Black Canyon of the Gunnison NP,CO,2013,August,"33,279",0,"210,625",0,0,"2,004","1,542",90,0,"3,636"
45,Black Canyon of the Gunnison NP,CO,2013,September,"23,945",0,"159,130",0,0,"1,351","1,463",56,0,"2,870"
46,Black Canyon of the Gunnison NP,CO,2013,October,"5,789",0,"19,585",0,0,152,168,37,0,357
47,Black Canyon of the Gunnison NP,CO,2013,November,"3,296",0,"7,721",0,0,0,14,0,0,14
48,Black Canyon of the Gunnison NP,CO,2013,December,"4,138",0,"12,083",0,0,8,6,0,0,14
49,Black Canyon of the Gunnison NP,CO,2014,January,"3,469",0,"10,578",0,0,6,0,0,0,6
50,Black Canyon of the Gunnison NP,CO,2014,February,"4,031",0,"12,736",0,0,15,0,0,0,15
51,Black Canyon of the Gunnison NP,CO,2014,March,"4,302",0,"8,812",0,0,26,0,0,0,26
52,Black Canyon of the Gunnison NP,CO,2014,April,"6,761",0,"26,579",0,0,272,206,27,0,504
53,Black Canyon of the Gunnison NP,CO,2014,May,"21,157",0,"139,449",0,0,"1,338",835,89,0,"2,262"
54,Black Canyon of the Gunnison NP,CO,2014,June,"28,536",0,"193,000",0,0,"1,994","1,376",45,0,"3,415"
55,Black Canyon of the Gunnison NP,CO,2014,July,"42,253",0,"238,187",0,0,"1,977","1,466",77,0,"3,521"
56,Black Canyon of the Gunnison NP,CO,2014,August,"25,712",0,"186,949",0,0,"1,819","1,384",60,0,"3,263"
57,Black Canyon of the Gunnison NP,CO,2014,September,"24,788",0,"121,631",0,0,737,358,54,0,"1,149"
58,Black Canyon of the Gunnison NP,CO,2014,October,"13,432",0,"86,912",0,0,"1,257","1,473",33,0,"2,764"
59,Black Canyon of the Gunnison NP,CO,2014,November,"4,925",0,"18,939",0,0,230,271,3,0,504
60,Black Canyon of the Gunnison NP,CO,2014,December,"3,679",0,"7,965",0,0,14,0,2,0,16
61,Black Canyon of the Gunnison NP,CO,2015,January,"4,600",0,"9,659",0,0,8,0,0,0,8
62,Black Canyon of the Gunnison NP,CO,2015,February,"4,136",0,"8,495",0,0,15,7,0,0,22
63,Black Canyon of the Gunnison NP,CO,2015,March,"5,968",0,"13,332",0,0,55,20,10,0,84
64,Black Canyon of the Gunnison NP,CO,2015,April,"8,896",0,"33,898",0,0,377,145,98,0,619
65,Black Canyon of the Gunnison NP,CO,2015,May,"23,176",0,"141,456",0,0,"1,121",879,159,0,"2,158"
66,Black Canyon of the Gunnison NP,CO,2015,June,"33,141",0,"216,096",0,0,"1,948","1,575",259,0,"3,781"
67,Black Canyon of the Gunnison NP,CO,2015,July,"45,328",0,"297,871",0,0,"2,970","2,682",77,0,"5,729"
68,Black Canyon of the Gunnison NP,CO,2015,August,"27,197",0,"203,460",0,0,"2,276","1,720",224,0,"4,219"
69,Black Canyon of the Gunnison NP,CO,2015,September,"29,878",0,"191,431",0,0,"1,958",917,172,0,"3,047"
