Park,Year,Month,Recreation_ Visitors,Non_Recreation_Visitors,Recreation_Visitor_Hours,Non_Recreation_Hours,Concession_Lodging,Tent_Campers,RV_Campers,Concession_Camping,Backcountry_Campers,Misc_Campers,Non_Recreation_Overnight_Stays,Total_Overnight_Stays,Year_Total_Header,Sum_Recreation_ Visitors,Sum_Non_Recreation_Visitors,Sum_Recreation_Visitor_Hours,Sum_Non_Recreation_Hours,Sum_Concession_Lodging,Sum_Tent_Campers,Sum_RV_Campers,Sum_Concession_Camping,Sum_Backcountry_Campers,Sum_Misc_Campers,Sum_Non_Recreation_Overnight_Stays,Sum_Sum_Overnight_Stays,2010_2020_Sum_Recreation_ Visitors,2010_2020_Sum_Non_Recreation_Visitors,2010_2020_Sum_Recreation_Visitor_Hours,2010_2020_Sum_Non_Recreation_Hours,2010_2020_Sum_Concession_Lodging,2010_2020_Sum_Tent_Campers,2010_2020_Sum_RV_Campers,2010_2020_Sum_Concession_Camping,2010_2020_Sum_Backcountry_Campers,2010_2020_Sum_Misc_Campers,2010_2020_Sum_Non_Recreation_Overnight_Stays,2010_2020_Sum_Overnight_Stays
Black Canyon of the Gunnison NP,2010,January,"2,519",0,"6,898",0,0,19,8,0,0,0,0,27,2010 Totals,"176,344",0,"985,916",0,0,"8,165","7,089",0,"1,146",0,0,"16,400","2,733,874",0,"15,762,175",0,0,"154,221","107,848",0,"14,510",0,0,"276,568"
Black Canyon of the Gunnison NP,2010,February,"3,034",0,"9,193",0,0,35,13,0,0,0,0,48,2010 Totals,"176,344",0,"985,916",0,0,"8,165","7,089",0,"1,146",0,0,"16,400","2,733,874",0,"15,762,175",0,0,"154,221","107,848",0,"14,510",0,0,"276,568"
Black Canyon of the Gunnison NP,2010,March,"3,199",0,"8,741",0,0,35,20,0,0,0,0,55,2010 Totals,"176,344",0,"985,916",0,0,"8,165","7,089",0,"1,146",0,0,"16,400","2,733,874",0,"15,762,175",0,0,"154,221","107,848",0,"14,510",0,0,"276,568"
Black Canyon of the Gunnison NP,2010,April,"4,421",0,"17,747",0,0,169,160,0,32,0,0,361,2010 Totals,"176,344",0,"985,916",0,0,"8,165","7,089",0,"1,146",0,0,"16,400","2,733,874",0,"15,762,175",0,0,"154,221","107,848",0,"14,510",0,0,"276,568"
Black Canyon of the Gunnison NP,2010,May,"21,259",0,"128,429",0,0,"1,159",715,0,107,0,0,"1,981",2010 Totals,"176,344",0,"985,916",0,0,"8,165","7,089",0,"1,146",0,0,"16,400","2,733,874",0,"15,762,175",0,0,"154,221","107,848",0,"14,510",0,0,"276,568"
Black Canyon of the Gunnison NP,2010,June,"24,477",0,"163,138",0,0,"1,172","1,518",0,184,0,0,"2,874",2010 Totals,"176,344",0,"985,916",0,0,"8,165","7,089",0,"1,146",0,0,"16,400","2,733,874",0,"15,762,175",0,0,"154,221","107,848",0,"14,510",0,0,"276,568"
Black Canyon of the Gunnison NP,2010,July,"35,398",0,"228,706",0,0,"2,162","1,648",0,143,0,0,"3,953",2010 Totals,"176,344",0,"985,916",0,0,"8,165","7,089",0,"1,146",0,0,"16,400","2,733,874",0,"15,762,175",0,0,"154,221","107,848",0,"14,510",0,0,"276,568"
Black Canyon of the Gunnison NP,2010,August,"27,367",0,"165,614",0,0,"1,095","1,293",0,196,0,0,"2,584",2010 Totals,"176,344",0,"985,916",0,0,"8,165","7,089",0,"1,146",0,0,"16,400","2,733,874",0,"15,762,175",0,0,"154,221","107,848",0,"14,510",0,0,"276,568"
Black Canyon of the Gunnison NP,2010,September,"24,297",0,"161,738",0,0,"1,455","1,001",0,320,0,0,"2,776",2010 Totals,"176,344",0,"985,916",0,0,"8,165","7,089",0,"1,146",0,0,"16,400","2,733,874",0,"15,762,175",0,0,"154,221","107,848",0,"14,510",0,0,"276,568"
Black Canyon of the Gunnison NP,2010,October,"21,331",0,"75,893",0,0,803,630,0,159,0,0,"1,592",2010 Totals,"176,344",0,"985,916",0,0,"8,165","7,089",0,"1,146",0,0,"16,400","2,733,874",0,"15,762,175",0,0,"154,221","107,848",0,"14,510",0,0,"276,568"
Black Canyon of the Gunnison NP,2010,November,"3,646",0,"9,242",0,0,50,75,0,5,0,0,130,2010 Totals,"176,344",0,"985,916",0,0,"8,165","7,089",0,"1,146",0,0,"16,400","2,733,874",0,"15,762,175",0,0,"154,221","107,848",0,"14,510",0,0,"276,568"
Black Canyon of the Gunnison NP,2010,December,"5,396",0,"10,577",0,0,11,8,0,0,0,0,19,2010 Totals,"176,344",0,"985,916",0,0,"8,165","7,089",0,"1,146",0,0,"16,400","2,733,874",0,"15,762,175",0,0,"154,221","107,848",0,"14,510",0,0,"276,568"
Black Canyon of the Gunnison NP,2011,January,"3,289",0,"10,454",0,0,61,25,0,4,0,0,90,2011 Totals,"168,336",0,"1,024,767",0,0,"9,919","7,568",0,631,0,0,"18,118","2,733,874",0,"15,762,175",0,0,"154,221","107,848",0,"14,510",0,0,"276,568"
Black Canyon of the Gunnison NP,2011,February,"3,207",0,"9,542",0,0,26,20,0,3,0,0,49,2011 Totals,"168,336",0,"1,024,767",0,0,"9,919","7,568",0,631,0,0,"18,118","2,733,874",0,"15,762,175",0,0,"154,221","107,848",0,"14,510",0,0,"276,568"
Black Canyon of the Gunnison NP,2011,March,"4,012",0,"11,106",0,0,83,31,0,5,0,0,119,2011 Totals,"168,336",0,"1,024,767",0,0,"9,919","7,568",0,631,0,0,"18,118","2,733,874",0,"15,762,175",0,0,"154,221","107,848",0,"14,510",0,0,"276,568"
Black Canyon of the Gunnison NP,2011,April,"4,885",0,"18,646",0,0,180,138,0,7,0,0,325,2011 Totals,"168,336",0,"1,024,767",0,0,"9,919","7,568",0,631,0,0,"18,118","2,733,874",0,"15,762,175",0,0,"154,221","107,848",0,"14,510",0,0,"276,568"
Black Canyon of the Gunnison NP,2011,May,"12,722",0,"101,447",0,0,"1,047",808,0,80,0,0,"1,935",2011 Totals,"168,336",0,"1,024,767",0,0,"9,919","7,568",0,631,0,0,"18,118","2,733,874",0,"15,762,175",0,0,"154,221","107,848",0,"14,510",0,0,"276,568"
Black Canyon of the Gunnison NP,2011,June,"24,589",0,"184,682",0,0,"1,928","1,656",0,93,0,0,"3,677",2011 Totals,"168,336",0,"1,024,767",0,0,"9,919","7,568",0,631,0,0,"18,118","2,733,874",0,"15,762,175",0,0,"154,221","107,848",0,"14,510",0,0,"276,568"
Black Canyon of the Gunnison NP,2011,July,"28,381",0,"223,287",0,0,"2,606","1,983",0,135,0,0,"4,724",2011 Totals,"168,336",0,"1,024,767",0,0,"9,919","7,568",0,631,0,0,"18,118","2,733,874",0,"15,762,175",0,0,"154,221","107,848",0,"14,510",0,0,"276,568"
Black Canyon of the Gunnison NP,2011,August,"39,032",0,"229,224",0,0,"1,991","1,491",0,95,0,0,"3,577",2011 Totals,"168,336",0,"1,024,767",0,0,"9,919","7,568",0,631,0,0,"18,118","2,733,874",0,"15,762,175",0,0,"154,221","107,848",0,"14,510",0,0,"276,568"
Black Canyon of the Gunnison NP,2011,September,"26,905",0,"173,286",0,0,"1,651","1,146",0,92,0,0,"2,889",2011 Totals,"168,336",0,"1,024,767",0,0,"9,919","7,568",0,631,0,0,"18,118","2,733,874",0,"15,762,175",0,0,"154,221","107,848",0,"14,510",0,0,"276,568"
Black Canyon of the Gunnison NP,2011,October,"12,297",0,"41,912",0,0,338,234,0,107,0,0,679,2011 Totals,"168,336",0,"1,024,767",0,0,"9,919","7,568",0,631,0,0,"18,118","2,733,874",0,"15,762,175",0,0,"154,221","107,848",0,"14,510",0,0,"276,568"
Black Canyon of the Gunnison NP,2011,November,"5,031",0,"9,718",0,0,0,22,0,6,0,0,28,2011 Totals,"168,336",0,"1,024,767",0,0,"9,919","7,568",0,631,0,0,"18,118","2,733,874",0,"15,762,175",0,0,"154,221","107,848",0,"14,510",0,0,"276,568"
Black Canyon of the Gunnison NP,2011,December,"3,986",0,"11,463",0,0,8,14,0,4,0,0,26,2011 Totals,"168,336",0,"1,024,767",0,0,"9,919","7,568",0,631,0,0,"18,118","2,733,874",0,"15,762,175",0,0,"154,221","107,848",0,"14,510",0,0,"276,568"
Black Canyon of the Gunnison NP,2012,January,509,0,"4,749",0,0,6,0,0,0,0,0,6,2012 Totals,"192,570",0,"1,141,549",0,0,"10,057","8,979",0,666,0,0,"19,702","2,733,874",0,"15,762,175",0,0,"154,221","107,848",0,"14,510",0,0,"276,568"
Black Canyon of the Gunnison NP,2012,February,717,0,"6,746",0,0,7,0,0,0,0,0,7,2012 Totals,"192,570",0,"1,141,549",0,0,"10,057","8,979",0,666,0,0,"19,702","2,733,874",0,"15,762,175",0,0,"154,221","107,848",0,"14,510",0,0,"276,568"
