Park,Year,Month,Recreation_Visitors,Non_Recreation_Visitors,Recreation_Visitor_Hours,Non_Recreation_Hours,Concession_Lodging,Tent_Campers,RV_Campers,Concession_Camping,Backcountry_Campers,Misc_Campers,Non_Recreation_Overnight_Stays,Total_Overnight_Stays,Year_Total_Header,Sum_Recreation_Visitors,Sum_Non_Recreation_Visitors,Sum_Recreation_Visitor_Hours,Sum_Non_Recreation_Hours,Sum_Concession_Lodging,Sum_Tent_Campers,Sum_RV_Campers,Sum_Concession_Camping,Sum_Backcountry_Campers,Sum_Misc_Campers,Sum_Non_Recreation_Overnight_Stays,Sum_Sum_Overnight_Stays,2010_2020_Sum_Recreation_Visitors,2010_2020_Sum_Non_Recreation_Visitors,2010_2020_Sum_Recreation_Visitor_Hours,2010_2020_Sum_Non_Recreation_Hours,2010_2020_Sum_Concession_Lodging,2010_2020_Sum_Tent_Campers,2010_2020_Sum_RV_Campers,2010_2020_Sum_Concession_Camping,2010_2020_Sum_Backcountry_Campers,2010_2020_Sum_Misc_Campers,2010_2020_Sum_Non_Recreation_Overnight_Stays,2010_2020_Sum_Overnight_Stays
Great Sand Dunes NP & PRES,2010,January,"1,328",35,"4,067",35,0,63,40,0,0,0,0,103,2010 Totals,"283,284",470,"1,900,386",470,0,"27,423","13,528",0,"2,171","6,704",0,"49,826","3,939,370","5,170","22,198,924","5,170",0,"285,599","162,215",0,"39,583","62,736",0,"550,135"
Great Sand Dunes NP & PRES,2010,February,"2,110",35,"5,262",35,0,59,13,0,3,0,0,75,2010 Totals,"283,284",470,"1,900,386",470,0,"27,423","13,528",0,"2,171","6,704",0,"49,826","3,939,370","5,170","22,198,924","5,170",0,"285,599","162,215",0,"39,583","62,736",0,"550,135"
Great Sand Dunes NP & PRES,2010,March,"9,530",35,"20,978",35,0,0,0,0,145,0,0,145,2010 Totals,"283,284",470,"1,900,386",470,0,"27,423","13,528",0,"2,171","6,704",0,"49,826","3,939,370","5,170","22,198,924","5,170",0,"285,599","162,215",0,"39,583","62,736",0,"550,135"
Great Sand Dunes NP & PRES,2010,April,"9,083",35,"39,486",35,0,729,294,0,37,491,0,"1,551",2010 Totals,"283,284",470,"1,900,386",470,0,"27,423","13,528",0,"2,171","6,704",0,"49,826","3,939,370","5,170","22,198,924","5,170",0,"285,599","162,215",0,"39,583","62,736",0,"550,135"
Great Sand Dunes NP & PRES,2010,May,"44,932",45,"340,210",45,0,"4,316","2,373",0,575,"1,588",0,"8,852",2010 Totals,"283,284",470,"1,900,386",470,0,"27,423","13,528",0,"2,171","6,704",0,"49,826","3,939,370","5,170","22,198,924","5,170",0,"285,599","162,215",0,"39,583","62,736",0,"550,135"
Great Sand Dunes NP & PRES,2010,June,"56,799",45,"416,644",45,0,"5,838","2,789",0,409,"1,607",0,"10,643",2010 Totals,"283,284",470,"1,900,386",470,0,"27,423","13,528",0,"2,171","6,704",0,"49,826","3,939,370","5,170","22,198,924","5,170",0,"285,599","162,215",0,"39,583","62,736",0,"550,135"
Great Sand Dunes NP & PRES,2010,July,"60,734",45,"401,125",45,0,"5,808","2,492",0,303,"1,225",0,"9,828",2010 Totals,"283,284",470,"1,900,386",470,0,"27,423","13,528",0,"2,171","6,704",0,"49,826","3,939,370","5,170","22,198,924","5,170",0,"285,599","162,215",0,"39,583","62,736",0,"550,135"
Great Sand Dunes NP & PRES,2010,August,"46,552",45,"333,377",45,0,"5,359","1,973",0,231,901,0,"8,464",2010 Totals,"283,284",470,"1,900,386",470,0,"27,423","13,528",0,"2,171","6,704",0,"49,826","3,939,370","5,170","22,198,924","5,170",0,"285,599","162,215",0,"39,583","62,736",0,"550,135"
Great Sand Dunes NP & PRES,2010,September,"28,728",45,"241,093",45,0,"3,412","2,257",0,222,561,0,"6,452",2010 Totals,"283,284",470,"1,900,386",470,0,"27,423","13,528",0,"2,171","6,704",0,"49,826","3,939,370","5,170","22,198,924","5,170",0,"285,599","162,215",0,"39,583","62,736",0,"550,135"
Great Sand Dunes NP & PRES,2010,October,"16,344",35,"75,579",35,0,"1,469","1,096",0,217,331,0,"3,113",2010 Totals,"283,284",470,"1,900,386",470,0,"27,423","13,528",0,"2,171","6,704",0,"49,826","3,939,370","5,170","22,198,924","5,170",0,"285,599","162,215",0,"39,583","62,736",0,"550,135"
Great Sand Dunes NP & PRES,2010,November,"4,759",35,"16,448",35,0,307,168,0,27,0,0,502,2010 Totals,"283,284",470,"1,900,386",470,0,"27,423","13,528",0,"2,171","6,704",0,"49,826","3,939,370","5,170","22,198,924","5,170",0,"285,599","162,215",0,"39,583","62,736",0,"550,135"
Great Sand Dunes NP & PRES,2010,December,"2,385",35,"6,117",35,0,63,33,0,2,0,0,98,2010 Totals,"283,284",470,"1,900,386",470,0,"27,423","13,528",0,"2,171","6,704",0,"49,826","3,939,370","5,170","22,198,924","5,170",0,"285,599","162,215",0,"39,583","62,736",0,"550,135"
Great Sand Dunes NP & PRES,2011,January,"1,428",35,"3,422",35,0,26,7,0,10,0,0,43,2011 Totals,"280,058",470,"1,795,935",470,0,"25,400","13,688",0,"2,201","5,541",0,"46,830","3,939,370","5,170","22,198,924","5,170",0,"285,599","162,215",0,"39,583","62,736",0,"550,135"
Great Sand Dunes NP & PRES,2011,February,"2,316",35,"5,643",35,0,50,20,0,4,0,0,74,2011 Totals,"280,058",470,"1,795,935",470,0,"25,400","13,688",0,"2,201","5,541",0,"46,830","3,939,370","5,170","22,198,924","5,170",0,"285,599","162,215",0,"39,583","62,736",0,"550,135"
Great Sand Dunes NP & PRES,2011,March,"9,919",35,"38,658",35,0,848,403,0,135,0,0,"1,386",2011 Totals,"280,058",470,"1,795,935",470,0,"25,400","13,688",0,"2,201","5,541",0,"46,830","3,939,370","5,170","22,198,924","5,170",0,"285,599","162,215",0,"39,583","62,736",0,"550,135"
Great Sand Dunes NP & PRES,2011,April,"9,453",35,"45,064",35,0,"1,007",495,0,179,245,0,"1,926",2011 Totals,"280,058",470,"1,795,935",470,0,"25,400","13,688",0,"2,201","5,541",0,"46,830","3,939,370","5,170","22,198,924","5,170",0,"285,599","162,215",0,"39,583","62,736",0,"550,135"
Great Sand Dunes NP & PRES,2011,May,"43,793",45,"321,124",45,0,"3,967","2,142",0,560,"1,646",0,"8,315",2011 Totals,"280,058",470,"1,795,935",470,0,"25,400","13,688",0,"2,201","5,541",0,"46,830","3,939,370","5,170","22,198,924","5,170",0,"285,599","162,215",0,"39,583","62,736",0,"550,135"
Great Sand Dunes NP & PRES,2011,June,"58,163",45,"403,337",45,0,"5,742","2,581",0,235,"1,549",0,"10,107",2011 Totals,"280,058",470,"1,795,935",470,0,"25,400","13,688",0,"2,201","5,541",0,"46,830","3,939,370","5,170","22,198,924","5,170",0,"285,599","162,215",0,"39,583","62,736",0,"550,135"
Great Sand Dunes NP & PRES,2011,July,"62,020",45,"407,914",45,0,"5,983","2,350",0,658,"1,018",0,"10,009",2011 Totals,"280,058",470,"1,795,935",470,0,"25,400","13,688",0,"2,201","5,541",0,"46,830","3,939,370","5,170","22,198,924","5,170",0,"285,599","162,215",0,"39,583","62,736",0,"550,135"
Great Sand Dunes NP & PRES,2011,August,"44,320",45,"262,445",45,0,"3,244","2,855",0,0,0,0,"6,099",2011 Totals,"280,058",470,"1,795,935",470,0,"25,400","13,688",0,"2,201","5,541",0,"46,830","3,939,370","5,170","22,198,924","5,170",0,"285,599","162,215",0,"39,583","62,736",0,"550,135"
Great Sand Dunes NP & PRES,2011,September,"26,900",45,"226,331",45,0,"3,260","1,818",0,210,771,0,"6,059",2011 Totals,"280,058",470,"1,795,935",470,0,"25,400","13,688",0,"2,201","5,541",0,"46,830","3,939,370","5,170","22,198,924","5,170",0,"285,599","162,215",0,"39,583","62,736",0,"550,135"
