Park,Year,Month,Recreation_ Visitors,Non_Recreation_Visitors,Recreation_Visitor_Hours,Non_Recreation_Hours,Concession_Lodging,Tent_Campers,RV_Campers,Concession_Camping,Backcountry_Campers,Misc_Campers,Non_Recreation_Overnight_Stays,Total_Overnight_Stays,Year_Total_Header,Sum_Recreation_ Visitors,Sum_Non_Recreation_Visitors,Sum_Recreation_Visitor_Hours,Sum_Non_Recreation_Hours,Sum_Concession_Lodging,Sum_Tent_Campers,Sum_RV_Campers,Sum_Concession_Camping,Sum_Backcountry_Campers,Sum_Misc_Campers,Sum_Non_Recreation_Overnight_Stays,Sum_Sum_Overnight_Stays,2010_2020_Sum_Recreation_ Visitors,2010_2020_Sum_Non_Recreation_Visitors,2010_2020_Sum_Recreation_Visitor_Hours,2010_2020_Sum_Non_Recreation_Hours,2010_2020_Sum_Concession_Lodging,2010_2020_Sum_Tent_Campers,2010_2020_Sum_RV_Campers,2010_2020_Sum_Concession_Camping,2010_2020_Sum_Backcountry_Campers,2010_2020_Sum_Misc_Campers,2010_2020_Sum_Non_Recreation_Overnight_Stays,2010_2020_Sum_Overnight_Stays
Mesa Verde NP,2010,January,"4,212",206,"18,953",206,0,0,0,0,0,0,0,0,2010 Totals,"559,712","6,907","4,237,579","6,907","46,041","26,994","22,066",0,0,395,0,"95,496","5,734,441","97,512","39,850,293","97,512","259,366","344,973","173,096",0,0,"2,875",0,"780,305"
Mesa Verde NP,2010,February,"4,549",300,"20,469",300,0,0,0,0,0,0,0,0,2010 Totals,"559,712","6,907","4,237,579","6,907","46,041","26,994","22,066",0,0,395,0,"95,496","5,734,441","97,512","39,850,293","97,512","259,366","344,973","173,096",0,0,"2,875",0,"780,305"
Mesa Verde NP,2010,March,"12,112",684,"54,503",684,0,0,0,0,0,0,0,0,2010 Totals,"559,712","6,907","4,237,579","6,907","46,041","26,994","22,066",0,0,395,0,"95,496","5,734,441","97,512","39,850,293","97,512","259,366","344,973","173,096",0,0,"2,875",0,"780,305"
Mesa Verde NP,2010,April,"26,390",594,"135,763",594,945,0,0,0,0,0,0,945,2010 Totals,"559,712","6,907","4,237,579","6,907","46,041","26,994","22,066",0,0,395,0,"95,496","5,734,441","97,512","39,850,293","97,512","259,366","344,973","173,096",0,0,"2,875",0,"780,305"
Mesa Verde NP,2010,May,"54,833","1,403","484,122","1,403","6,520","3,153","3,450",0,0,65,0,"13,188",2010 Totals,"559,712","6,907","4,237,579","6,907","46,041","26,994","22,066",0,0,395,0,"95,496","5,734,441","97,512","39,850,293","97,512","259,366","344,973","173,096",0,0,"2,875",0,"780,305"
Mesa Verde NP,2010,June,"111,802",929,"858,751",929,"8,913","5,393","5,383",0,0,70,0,"19,759",2010 Totals,"559,712","6,907","4,237,579","6,907","46,041","26,994","22,066",0,0,395,0,"95,496","5,734,441","97,512","39,850,293","97,512","259,366","344,973","173,096",0,0,"2,875",0,"780,305"
Mesa Verde NP,2010,July,"116,017",581,"920,642",581,"10,525","6,928","4,645",0,0,45,0,"22,143",2010 Totals,"559,712","6,907","4,237,579","6,907","46,041","26,994","22,066",0,0,395,0,"95,496","5,734,441","97,512","39,850,293","97,512","259,366","344,973","173,096",0,0,"2,875",0,"780,305"
Mesa Verde NP,2010,August,"101,458",632,"790,247",632,"9,438","5,545","3,550",0,0,5,0,"18,538",2010 Totals,"559,712","6,907","4,237,579","6,907","46,041","26,994","22,066",0,0,395,0,"95,496","5,734,441","97,512","39,850,293","97,512","259,366","344,973","173,096",0,0,"2,875",0,"780,305"
Mesa Verde NP,2010,September,"69,169",501,"618,222",501,"7,800","5,080","4,138",0,0,36,0,"17,054",2010 Totals,"559,712","6,907","4,237,579","6,907","46,041","26,994","22,066",0,0,395,0,"95,496","5,734,441","97,512","39,850,293","97,512","259,366","344,973","173,096",0,0,"2,875",0,"780,305"
Mesa Verde NP,2010,October,"40,243",414,"250,736",414,"1,900",895,900,0,0,174,0,"3,869",2010 Totals,"559,712","6,907","4,237,579","6,907","46,041","26,994","22,066",0,0,395,0,"95,496","5,734,441","97,512","39,850,293","97,512","259,366","344,973","173,096",0,0,"2,875",0,"780,305"
Mesa Verde NP,2010,November,"10,758",330,"48,412",330,0,0,0,0,0,0,0,0,2010 Totals,"559,712","6,907","4,237,579","6,907","46,041","26,994","22,066",0,0,395,0,"95,496","5,734,441","97,512","39,850,293","97,512","259,366","344,973","173,096",0,0,"2,875",0,"780,305"
Mesa Verde NP,2010,December,"8,169",333,"36,759",333,0,0,0,0,0,0,0,0,2010 Totals,"559,712","6,907","4,237,579","6,907","46,041","26,994","22,066",0,0,395,0,"95,496","5,734,441","97,512","39,850,293","97,512","259,366","344,973","173,096",0,0,"2,875",0,"780,305"
Mesa Verde NP,2011,January,"5,788",329,"26,047",329,0,0,0,0,0,0,0,0,2011 Totals,"572,329","5,728","3,851,465","5,728","29,305","26,489","14,879",0,0,218,0,"70,891","5,734,441","97,512","39,850,293","97,512","259,366","344,973","173,096",0,0,"2,875",0,"780,305"
Mesa Verde NP,2011,February,"5,323",306,"23,955",306,0,0,0,0,0,0,0,0,2011 Totals,"572,329","5,728","3,851,465","5,728","29,305","26,489","14,879",0,0,218,0,"70,891","5,734,441","97,512","39,850,293","97,512","259,366","344,973","173,096",0,0,"2,875",0,"780,305"
Mesa Verde NP,2011,March,"14,311",341,"64,398",341,0,0,0,0,0,0,0,0,2011 Totals,"572,329","5,728","3,851,465","5,728","29,305","26,489","14,879",0,0,218,0,"70,891","5,734,441","97,512","39,850,293","97,512","259,366","344,973","173,096",0,0,"2,875",0,"780,305"
Mesa Verde NP,2011,April,"24,325",602,"131,494",602,"1,224",0,0,0,0,0,0,"1,224",2011 Totals,"572,329","5,728","3,851,465","5,728","29,305","26,489","14,879",0,0,218,0,"70,891","5,734,441","97,512","39,850,293","97,512","259,366","344,973","173,096",0,0,"2,875",0,"780,305"
Mesa Verde NP,2011,May,"59,077","1,011","470,606","1,011","5,948","3,038","2,315",0,0,75,0,"11,376",2011 Totals,"572,329","5,728","3,851,465","5,728","29,305","26,489","14,879",0,0,218,0,"70,891","5,734,441","97,512","39,850,293","97,512","259,366","344,973","173,096",0,0,"2,875",0,"780,305"
Mesa Verde NP,2011,June,"113,928",618,"765,314",618,"3,915","6,915","3,153",0,0,53,0,"14,036",2011 Totals,"572,329","5,728","3,851,465","5,728","29,305","26,489","14,879",0,0,218,0,"70,891","5,734,441","97,512","39,850,293","97,512","259,366","344,973","173,096",0,0,"2,875",0,"780,305"
Mesa Verde NP,2011,July,"120,840",642,"791,803",642,"4,017","7,068","2,643",0,0,52,0,"13,780",2011 Totals,"572,329","5,728","3,851,465","5,728","29,305","26,489","14,879",0,0,218,0,"70,891","5,734,441","97,512","39,850,293","97,512","259,366","344,973","173,096",0,0,"2,875",0,"780,305"
Mesa Verde NP,2011,August,"103,413",662,"658,545",662,"3,802","5,090","1,833",0,0,8,0,"10,733",2011 Totals,"572,329","5,728","3,851,465","5,728","29,305","26,489","14,879",0,0,218,0,"70,891","5,734,441","97,512","39,850,293","97,512","259,366","344,973","173,096",0,0,"2,875",0,"780,305"
Mesa Verde NP,2011,September,"70,453",471,"583,672",471,"7,814","3,395","3,580",0,0,24,0,"14,813",2011 Totals,"572,329","5,728","3,851,465","5,728","29,305","26,489","14,879",0,0,218,0,"70,891","5,734,441","97,512","39,850,293","97,512","259,366","344,973","173,096",0,0,"2,875",0,"780,305"
Mesa Verde NP,2011,October,"37,264",234,"256,399",234,"2,585",983,"1,355",0,0,6,0,"4,929",2011 Totals,"572,329","5,728","3,851,465","5,728","29,305","26,489","14,879",0,0,218,0,"70,891","5,734,441","97,512","39,850,293","97,512","259,366","344,973","173,096",0,0,"2,875",0,"780,305"
Mesa Verde NP,2011,November,"9,906",206,"44,577",206,0,0,0,0,0,0,0,0,2011 Totals,"572,329","5,728","3,851,465","5,728","29,305","26,489","14,879",0,0,218,0,"70,891","5,734,441","97,512","39,850,293","97,512","259,366","344,973","173,096",0,0,"2,875",0,"780,305"
Mesa Verde NP,2011,December,"7,701",306,"34,655",306,0,0,0,0,0,0,0,0,2011 Totals,"572,329","5,728","3,851,465","5,728","29,305","26,489","14,879",0,0,218,0,"70,891","5,734,441","97,512","39,850,293","97,512","259,366","344,973","173,096",0,0,"2,875",0,"780,305"
Mesa Verde NP,2012,January,"6,288",328,"28,298",328,0,0,0,0,0,0,0,0,2012 Totals,"488,860","9,647","3,348,743","9,647","21,769","22,705","19,156",0,0,197,0,"63,827","5,734,441","97,512","39,850,293","97,512","259,366","344,973","173,096",0,0,"2,875",0,"780,305"
Mesa Verde NP,2012,February,"5,771",328,"25,970",328,0,0,0,0,0,0,0,0,2012 Totals,"488,860","9,647","3,348,743","9,647","21,769","22,705","19,156",0,0,197,0,"63,827","5,734,441","97,512","39,850,293","97,512","259,366","344,973","173,096",0,0,"2,875",0,"780,305"
Mesa Verde NP,2012,March,"14,411",296,"64,850",296,0,0,0,0,0,0,0,0,2012 Totals,"488,860","9,647","3,348,743","9,647","21,769","22,705","19,156",0,0,197,0,"63,827","5,734,441","97,512","39,850,293","97,512","259,366","344,973","173,096",0,0,"2,875",0,"780,305"
Mesa Verde NP,2012,April,"25,245",444,"115,403",444,0,100,0,0,0,0,0,100,2012 Totals,"488,860","9,647","3,348,743","9,647","21,769","22,705","19,156",0,0,197,0,"63,827","5,734,441","97,512","39,850,293","97,512","259,366","344,973","173,096",0,0,"2,875",0,"780,305"
Mesa Verde NP,2012,May,"51,503","1,346","409,786","1,346","3,909","3,170","2,805",0,0,6,0,"9,890",2012 Totals,"488,860","9,647","3,348,743","9,647","21,769","22,705","19,156",0,0,197,0,"63,827","5,734,441","97,512","39,850,293","97,512","259,366","344,973","173,096",0,0,"2,875",0,"780,305"
