Park,Year,Month,Recreation_Visitors,Non_Recreation_Visitors,Recreation_Visitor_Hours,Non_Recreation_Hours,Concession_Lodging,Tent_Campers,RV_Campers,Concession_Camping,Backcountry_Campers,Misc_Campers,Non_Recreation_Overnight_Stays,Total_Overnight_Stays,Year_Total_Header,Sum_Recreation_Visitors,Sum_Non_Recreation_Visitors,Sum_Recreation_Visitor_Hours,Sum_Non_Recreation_Hours,Sum_Concession_Lodging,Sum_Tent_Campers,Sum_RV_Campers,Sum_Concession_Camping,Sum_Backcountry_Campers,Sum_Misc_Campers,Sum_Non_Recreation_Overnight_Stays,Sum_Sum_Overnight_Stays,2010_2020_Sum_Recreation_Visitors,2010_2020_Sum_Non_Recreation_Visitors,2010_2020_Sum_Recreation_Visitor_Hours,2010_2020_Sum_Non_Recreation_Hours,2010_2020_Sum_Concession_Lodging,2010_2020_Sum_Tent_Campers,2010_2020_Sum_RV_Campers,2010_2020_Sum_Concession_Camping,2010_2020_Sum_Backcountry_Campers,2010_2020_Sum_Misc_Campers,2010_2020_Sum_Non_Recreation_Overnight_Stays,2010_2020_Sum_Overnight_Stays
Rocky Mountain NP,2010,January,"64,618","9,833","393,246","1,049",0,147,69,0,130,0,0,346,2010 Totals,"2,955,821","172,626","20,522,155","39,359",0,"89,514","45,354",0,"33,405","5,929",0,"174,202","41,464,732","420,049","283,571,619","314,654",0,"1,098,702","573,060",0,"424,663","77,527",0,"2,173,952"
Rocky Mountain NP,2010,February,"44,576","6,835","269,887",693,0,66,30,0,56,0,0,152,2010 Totals,"2,955,821","172,626","20,522,155","39,359",0,"89,514","45,354",0,"33,405","5,929",0,"174,202","41,464,732","420,049","283,571,619","314,654",0,"1,098,702","573,060",0,"424,663","77,527",0,"2,173,952"
Rocky Mountain NP,2010,March,"70,117","6,778","431,504",776,0,267,162,0,246,0,0,675,2010 Totals,"2,955,821","172,626","20,522,155","39,359",0,"89,514","45,354",0,"33,405","5,929",0,"174,202","41,464,732","420,049","283,571,619","314,654",0,"1,098,702","573,060",0,"424,663","77,527",0,"2,173,952"
Rocky Mountain NP,2010,April,"69,097","6,737","426,759",743,0,354,273,0,134,0,0,761,2010 Totals,"2,955,821","172,626","20,522,155","39,359",0,"89,514","45,354",0,"33,405","5,929",0,"174,202","41,464,732","420,049","283,571,619","314,654",0,"1,098,702","573,060",0,"424,663","77,527",0,"2,173,952"
Rocky Mountain NP,2010,May,"180,710","11,780","1,191,876","2,373",0,"3,576","1,932",0,922,296,0,"6,726",2010 Totals,"2,955,821","172,626","20,522,155","39,359",0,"89,514","45,354",0,"33,405","5,929",0,"174,202","41,464,732","420,049","283,571,619","314,654",0,"1,098,702","573,060",0,"424,663","77,527",0,"2,173,952"
Rocky Mountain NP,2010,June,"441,738","22,443","3,205,162","5,883",0,"19,710","9,006",0,"4,599","1,356",0,"34,671",2010 Totals,"2,955,821","172,626","20,522,155","39,359",0,"89,514","45,354",0,"33,405","5,929",0,"174,202","41,464,732","420,049","283,571,619","314,654",0,"1,098,702","573,060",0,"424,663","77,527",0,"2,173,952"
Rocky Mountain NP,2010,July,"668,418","30,683","4,861,515","8,441",0,"27,129","11,130",0,"12,452","2,477",0,"53,188",2010 Totals,"2,955,821","172,626","20,522,155","39,359",0,"89,514","45,354",0,"33,405","5,929",0,"174,202","41,464,732","420,049","283,571,619","314,654",0,"1,098,702","573,060",0,"424,663","77,527",0,"2,173,952"
Rocky Mountain NP,2010,August,"574,638","29,990","4,131,333","9,115",0,"22,176","9,702",0,"9,687","1,154",0,"42,719",2010 Totals,"2,955,821","172,626","20,522,155","39,359",0,"89,514","45,354",0,"33,405","5,929",0,"174,202","41,464,732","420,049","283,571,619","314,654",0,"1,098,702","573,060",0,"424,663","77,527",0,"2,173,952"
Rocky Mountain NP,2010,September,"461,942","22,514","3,260,753","6,181",0,"14,526","11,277",0,"4,135",631,0,"30,569",2010 Totals,"2,955,821","172,626","20,522,155","39,359",0,"89,514","45,354",0,"33,405","5,929",0,"174,202","41,464,732","420,049","283,571,619","314,654",0,"1,098,702","573,060",0,"424,663","77,527",0,"2,173,952"
Rocky Mountain NP,2010,October,"245,770","10,845","1,533,403","2,503",0,"1,314","1,512",0,833,15,0,"3,674",2010 Totals,"2,955,821","172,626","20,522,155","39,359",0,"89,514","45,354",0,"33,405","5,929",0,"174,202","41,464,732","420,049","283,571,619","314,654",0,"1,098,702","573,060",0,"424,663","77,527",0,"2,173,952"
Rocky Mountain NP,2010,November,"67,862","7,714","415,713",909,0,207,189,0,138,0,0,534,2010 Totals,"2,955,821","172,626","20,522,155","39,359",0,"89,514","45,354",0,"33,405","5,929",0,"174,202","41,464,732","420,049","283,571,619","314,654",0,"1,098,702","573,060",0,"424,663","77,527",0,"2,173,952"
Rocky Mountain NP,2010,December,"66,335","6,474","401,004",693,0,42,72,0,73,0,0,187,2010 Totals,"2,955,821","172,626","20,522,155","39,359",0,"89,514","45,354",0,"33,405","5,929",0,"174,202","41,464,732","420,049","283,571,619","314,654",0,"1,098,702","573,060",0,"424,663","77,527",0,"2,173,952"
Rocky Mountain NP,2011,January,"68,641","8,131","415,495",913,0,45,42,0,141,0,0,228,2011 Totals,"3,176,941","168,673","22,273,036","39,045",0,"101,337","52,944",0,"31,216","15,215",0,"200,712","41,464,732","420,049","283,571,619","314,654",0,"1,098,702","573,060",0,"424,663","77,527",0,"2,173,952"
Rocky Mountain NP,2011,February,"50,540","6,085","306,473",633,0,42,18,0,142,0,0,202,2011 Totals,"3,176,941","168,673","22,273,036","39,045",0,"101,337","52,944",0,"31,216","15,215",0,"200,712","41,464,732","420,049","283,571,619","314,654",0,"1,098,702","573,060",0,"424,663","77,527",0,"2,173,952"
Rocky Mountain NP,2011,March,"73,760","7,229","455,586",812,0,321,156,0,337,0,0,814,2011 Totals,"3,176,941","168,673","22,273,036","39,045",0,"101,337","52,944",0,"31,216","15,215",0,"200,712","41,464,732","420,049","283,571,619","314,654",0,"1,098,702","573,060",0,"424,663","77,527",0,"2,173,952"
Rocky Mountain NP,2011,April,"77,183","5,940","476,040",680,0,372,357,0,80,0,0,809,2011 Totals,"3,176,941","168,673","22,273,036","39,045",0,"101,337","52,944",0,"31,216","15,215",0,"200,712","41,464,732","420,049","283,571,619","314,654",0,"1,098,702","573,060",0,"424,663","77,527",0,"2,173,952"
